gstin,is_fraud,fraud_type,xgb_score,anomaly_score,graph_risk_score,in_circular_ring,rule_score,rule_flags,flag_count,ensemble_score,models_agreeing,risk_level,lstm_score
02MJGMU7745L8ZB,1,sudden_spike,97.16,88.94,86.38,1,45,1 missing return(s) | Sales spike 13.3x (extreme) | Sales volatility 1.61 (high),3,84.92,4,CRITICAL,100.0
29EARET3287D7ZT,1,sudden_spike,99.34,90.06,73.55,1,45,2 missing return(s) | Sales spike 11.9x (extreme) | Sales volatility 1.58 (high),3,83.0,4,CRITICAL,100.0
09SVRWV9696V2ZH,1,missing_returns,98.69,71.81,87.97,1,47,6 missing returns (critical) | Filing rate 67% (low),2,82.28,4,CRITICAL,100.0
24MOAIP8405X3Z5,1,missing_returns,99.17,68.44,85.61,1,47,8 missing returns (critical) | Filing rate 56% (low),2,81.16,4,CRITICAL,100.0
33CFEQA4862C2ZP,1,shell_company,99.7,65.63,81.54,1,48,ITC ratio 47.6x (extreme) | 2 missing return(s),2,79.97,4,CRITICAL,99.99
03JAJUH2672A1ZA,1,shell_company,99.29,66.84,76.88,1,48,ITC ratio 98.4x (extreme) | 1 missing return(s),2,79.09,4,CRITICAL,100.0
03ONQDM6647O9ZN,1,fake_itc,99.92,66.15,81.01,1,40,ITC ratio 3.1x (extreme),1,78.75,4,CRITICAL,100.0
20CXYAG0625L6ZD,1,missing_returns,99.3,62.91,78.81,1,47,6 missing returns (critical) | Filing rate 67% (low),2,78.49,4,CRITICAL,100.0
17YLFLS0056H1ZO,1,shell_company,99.53,60.94,82.86,1,40,ITC ratio 66.8x (extreme),1,77.9,4,CRITICAL,100.0
05YSKHV1744V7Z7,1,shell_company,99.32,67.57,67.11,1,48,ITC ratio 58.9x (extreme) | 1 missing return(s),2,77.11,4,CRITICAL,100.0
18HOBRC1403I9ZE,1,missing_returns,99.36,55.39,84.73,1,68,10 missing returns (critical) | Filing rate 44% (very low) | Invoice match rate 84%,3,81.51,3,CRITICAL,100.0
20JRFBA7800W2ZY,1,sudden_spike,98.19,59.38,85.32,1,53,2 missing return(s) | Sales spike 11.9x (extreme) | Invoice match rate 80% | Sales volatility 1.52 (high),4,77.4,3,CRITICAL,76.24
05BDITF0160Z2ZT,1,shell_company,99.36,86.35,51.55,0,60,ITC ratio 61.6x (extreme) | 3 missing returns (high),2,79.75,3,CRITICAL,100.0
20JXDBG7353G3ZS,1,missing_returns,99.53,59.37,77.08,1,55,6 missing returns (critical) | Filing rate 67% (low) | Invoice match rate 79%,3,78.68,3,CRITICAL,100.0
15JJCNU5869G9ZM,1,sudden_spike,98.52,58.38,77.97,1,57,4 missing returns (high) | Sales spike 16.8x (extreme) | Sales volatility 1.51 (high),3,70.17,3,CRITICAL,14.93
08TSMWV3136M7ZP,1,sudden_spike,97.23,74.78,77.25999999999999,1,33,1 missing return(s) | Sales spike 6.8x (high) | Sales volatility 1.50 (high),3,77.9,3,CRITICAL,100.0
22KCXTL5205Z8Z1,1,sudden_spike,99.28,63.09,78.47999999999999,1,37,Sales spike 14.6x (extreme) | Sales volatility 1.68 (high),2,69.02,3,CRITICAL,21.66
03CKEJO3799R8ZV,1,shell_company,99.49,45.61,85.71,1,48,ITC ratio 76.8x (extreme) | 1 missing return(s),2,68.28,3,CRITICAL,18.66
07DTJNE5932U4ZT,1,missing_returns,98.7,50.76,76.85,1,55,9 missing returns (critical) | Filing rate 50% (low) | Invoice match rate 78%,3,76.48,3,CRITICAL,100.0
12EAFUY5241L9ZL,1,fake_itc,99.86,55.42,79.47,1,40,ITC ratio 3.7x (extreme),1,76.03,3,CRITICAL,100.0
33WFXNN1165O3ZR,1,shell_company,99.81,45.72,83.31,1,48,ITC ratio 116.7x (extreme) | 1 missing return(s),2,67.68,3,CRITICAL,16.72
19CXQOX2249I6Z9,1,sudden_spike,99.55,54.58,76.47999999999999,1,45,1 missing return(s) | Sales spike 12.6x (extreme) | Sales volatility 1.62 (high),3,67.81,3,CRITICAL,19.16
17SKXGN4618Q7Z2,1,missing_returns,98.94,42.14,83.25,1,55,7 missing returns (critical) | Filing rate 61% (low) | Invoice match rate 83%,3,76.07,3,CRITICAL,100.0
14KRTFF7619E3ZL,1,shell_company,99.39,83.93,44.93,0,48,ITC ratio 69.7x (extreme) | 2 missing return(s),2,75.85,3,CRITICAL,100.0
08FNXKI3707L4ZS,1,shell_company,99.4,36.29,82.18,1,60,ITC ratio 86.6x (extreme) | 3 missing returns (high),2,67.58,3,CRITICAL,21.01
04WCKZE3991H8ZJ,1,missing_returns,98.18,89.21,38.68,0,47,8 missing returns (critical) | Filing rate 56% (low),2,75.11,3,CRITICAL,100.0
33TJXLF7401K5ZG,1,sudden_spike,99.02,45.32,82.27,1,45,2 missing return(s) | Sales spike 12.0x (extreme) | Sales volatility 1.48 (high),3,66.59,3,CRITICAL,16.15
27VLKYU4951A9ZQ,1,sudden_spike,98.9,52.08,75.47999999999999,1,45,1 missing return(s) | Sales spike 15.4x (extreme) | Sales volatility 1.73 (high),3,66.57,3,CRITICAL,16.33
19EBLNU6971N2ZV,1,missing_returns,99.01,46.28,79.93,1,47,8 missing returns (critical) | Filing rate 56% (low),2,74.99,3,CRITICAL,100.0
18PNESY2510W2ZU,1,missing_returns,98.7,42.91,81.05,1,47,7 missing returns (critical) | Filing rate 61% (low),2,74.4,3,CRITICAL,100.0
06IRKSN5749F2Z6,1,shell_company,99.81,35.28,86.37,1,48,ITC ratio 73.6x (extreme) | 1 missing return(s),2,66.32,3,CRITICAL,19.32
12FDFVJ9584W3ZS,1,missing_returns,99.74,40.39,81.5,1,47,6 missing returns (critical) | Filing rate 67% (low),2,74.26,3,CRITICAL,99.99
04SQHSQ5978P7ZP,1,shell_company,99.81,34.39,86.16,1,48,ITC ratio 65.3x (extreme) | 1 missing return(s),2,66.05,3,CRITICAL,19.03
20AFNOT1247J7ZG,1,shell_company,99.64,42.16,73.28,1,56,ITC ratio 93.0x (extreme) | 1 missing return(s) | Invoice match rate 84%,3,65.91,3,CRITICAL,16.6
20HJQAF3527X9ZZ,1,shell_company,99.08,85.19,35.58,0,48,ITC ratio 83.8x (extreme) | Invoice match rate 83%,2,73.97,3,CRITICAL,100.0
10JMIDK5685U5ZR,1,shell_company,99.43,74.57,45.510000000000005,0,48,ITC ratio 83.5x (extreme) | 1 missing return(s),2,73.93,3,CRITICAL,100.0
21JUTWY8293N9ZE,1,fake_itc,99.84,44.01,79.16,1,41,ITC ratio 2.5x (high) | 2 missing return(s) | Invoice match rate 85%,3,65.64,3,CRITICAL,20.26
15ETDSN9330N4Z1,1,shell_company,99.76,75.85,42.38,0,48,ITC ratio 110.3x (extreme) | 2 missing return(s),2,73.62,3,CRITICAL,100.0
18XZDNZ6717C7ZN,1,missing_returns,98.79,43.13,69.14,1,60,10 missing returns (critical) | Filing rate 44% (very low),2,73.94,3,CRITICAL,100.0
