gstin,is_fraud,fraud_type,fraud_probability,predicted_fraud,risk_level,anomaly_score,anomaly_flag,graph_risk_score,in_circular_ring
09HVFSB5725Z4ZM,1,fake_itc,99.96,1,CRITICAL,58.78,1,40.64,0
09KGOHG8583X1ZH,1,fake_itc,99.96,1,CRITICAL,6.37,0,40.91,0
12LHXOZ0389I7ZC,1,fake_itc,99.96,1,CRITICAL,4.1,0,23.16,0
37AFRAM9497D1Z7,1,fake_itc,99.96,1,CRITICAL,24.15,0,78.68,1
12BLFVZ9267F8ZT,1,fake_itc,99.95,1,CRITICAL,9.82,0,39.75,0
18ZPWSL6839C7ZZ,1,fake_itc,99.95,1,CRITICAL,12.37,0,36.83,0
05LFUXI1301T9Z7,1,fake_itc,99.95,1,CRITICAL,15.12,0,24.54,0
19ASUMK7802M8ZH,1,fake_itc,99.95,1,CRITICAL,21.83,0,73.99,1
13BEYEU3521C2Z4,1,fake_itc,99.95,1,CRITICAL,4.62,0,39.34,0
36ALYTZ1564H6ZQ,1,fake_itc,99.95,1,CRITICAL,22.67,0,36.379999999999995,0
01QOZZV4394H2ZV,1,fake_itc,99.95,1,CRITICAL,8.6,0,76.97999999999999,1
11SLWMJ0478I9ZC,1,fake_itc,99.95,1,CRITICAL,20.29,0,42.03,0
03VMPCG3679M9ZS,1,fake_itc,99.95,1,CRITICAL,23.34,0,42.64,0
10LZQPP5548K6ZB,1,fake_itc,99.95,1,CRITICAL,13.9,0,78.03999999999999,1
10MRKSH6010U9Z3,1,fake_itc,99.95,1,CRITICAL,20.25,0,77.96000000000001,1
03MDVIN0139L3ZQ,1,fake_itc,99.94,1,CRITICAL,15.49,0,24.64,0
33OFVJM0668S1ZG,1,fake_itc,99.94,1,CRITICAL,10.83,0,35.78,0
36MKFST4970O3ZY,1,fake_itc,99.94,1,CRITICAL,10.11,0,41.82,0
13UWELH2591Q8ZE,1,fake_itc,99.94,1,CRITICAL,13.51,0,44.42,0
11SWGDJ6230M7ZQ,1,fake_itc,99.94,1,CRITICAL,4.77,0,44.56,0
20OSCSF3131H3ZI,1,fake_itc,99.94,1,CRITICAL,7.16,0,26.63,0
29FDRXX4976S3ZU,1,fake_itc,99.94,1,CRITICAL,9.34,0,47.79,0
21IYQNW0315C7Z9,1,fake_itc,99.94,1,CRITICAL,3.12,0,28.66,0
14ARHRH1711T1ZE,1,fake_itc,99.94,1,CRITICAL,17.79,0,74.28,1
17WNUQD8890M6Z4,1,fake_itc,99.94,1,CRITICAL,17.36,0,66.28,1
05WAAIG4401W9ZX,1,fake_itc,99.93,1,CRITICAL,8.94,0,36.45,0
21LBLAK4629J2ZS,1,fake_itc,99.93,1,CRITICAL,4.59,0,42.31,0
17SVHZQ3991N1Z2,1,fake_itc,99.93,1,CRITICAL,14.78,0,87.5,1
36TQVKB3249D5ZC,1,fake_itc,99.93,1,CRITICAL,30.47,1,23.29,0
05KYRCW8940D2ZA,1,fake_itc,99.93,1,CRITICAL,17.4,0,41.07,0
24HIEEP0650U9Z5,1,fake_itc,99.93,1,CRITICAL,19.77,0,32.13,0
12XUUHW6959P3Z3,1,fake_itc,99.93,1,CRITICAL,63.57,1,43.22,0
